Groundnut,Vegetative,32,65,31,16,"For groundnut in vegetative stage experiencing high temperature (32°C) with moderate humidity (65%) and rainfall (31mm), implement focused nutrient management to build resilience. Apply foliar spray of seaweed extract (3-5ml/L) with micronutrients to improve heat tolerance and prepare plants for upcoming flowering. The strong wind (16 km/h) increases transpiration demands - apply anti-transpirant spray on field perimeters most exposed to wind. Perform light hoeing to break soil crust from rainfall while simultaneously controlling early weed emergence - crucial timing as groundnut is poor competitor at this stage. Apply calcium ammonium nitrate as nitrogen source (15-20 kg N/ha) to support vegetative growth while improving calcium availability for upcoming pod development. Install yellow sticky traps (5/ha) to monitor thrips population which vectors peanut bud necrosis virus. Create windbreaks using tall grasses or temporary netting on prevailing wind direction side. Apply gypsum (200 kg/ha) as basal dose to ensure calcium availability during pegging stage under moisture fluctuation conditions.",0
Millet,Harvest,36,69,36,14,"For millet harvesting under very high temperature (36°C) and moderate humidity (69%), schedule cutting operations during early morning when grain moisture is optimal to prevent shattering losses. The significant rainfall (36mm) necessitates 2-3 days of clear weather before harvesting to achieve optimal grain moisture content of 18-20%. The moderate wind (14 km/h) helps in field drying but increases risk of lodging in mature crops - cut affected patches first. For machine harvesting, adjust cutter bar height considering variability in plant height from heat stress during grain filling. Use tarps under threshing operations to recover scattered grains. Clean equipment thoroughly between fields to prevent mixing of varieties. Bag harvested grain in jute rather than plastic sacks to allow moisture equilibration. Transport during morning hours and initiate artificial drying immediately if moisture exceeds 12%. Apply food-grade diatomaceous earth to grain if immediate drying isn't possible. Monitor for grain borers which proliferate rapidly under warm storage conditions - fumigate storage areas with approved compounds before storing new grain.",0
Maize,Germination,35,74,25,19,"For maize seed germination under high temperature (35°C) with moderate humidity (74%), implement precision planting techniques. Plant seeds in evening hours when soil has cooled from daytime heat for better germination uniformity. The moderate rainfall (25mm) creates favorable moisture conditions, but strong wind (19 km/h) will quickly dry soil surface - apply mulch immediately after planting in strips along rows. Treat seeds with metalaxyl + thiram combination to prevent seedling diseases under fluctuating soil moisture. Create microcatchments around each planting spot to harvest and direct rainfall toward germinating seeds. Install temporary windbreaks using 40% shade net along field perimeters perpendicular to wind direction. The combination of high temperature and moderate rainfall creates ideal conditions for soil insect pests - apply fipronil granules in seed furrows. Monitor soil temperature at seeding depth daily - if exceeding 37°C, apply light overhead irrigation during peak afternoon heat to cool soil profile. Maintain weed-free conditions through pre-emergent herbicide application as competition is particularly detrimental at this stage.",0
Banana,Flowering,34,74,25,18,"For banana at flowering stage with high temperature (34°C) and high humidity (74%), protect developing bunches from sunburn by covering with perforated white polyethylene sleeves within 7 days of shooting. The moderate rainfall (25mm) with strong wind (18 km/h) creates risk of pseudostem toppling - install two supporting poles per plant on opposite sides. Remove male buds manually when 5-6 hands have set to conserve plant energy under stress conditions. Apply potassium sulfate (250g/plant) to support fruit filling under heat stress. Maintain 10-12 functional leaves per plant, removing lower yellowing leaves to improve air circulation. Install drainage channels to ensure no standing water within 1 meter of pseudostem which can weaken root anchorage. Apply calcium nitrate as foliar spray (0.5%) to prevent finger drop under heat stress. Monitor for aphids on developing bunches which excrete honeydew leading to sooty mold under humid conditions - apply mineral oil sprays if detected. Implement daily monitoring for flying beetles which can damage emerging fruits. Tag bunches with colored ribbons to track development timing under variable weather conditions.",0
Sugarcane,Harvest,33,71,29,6,"For sugarcane harvesting at high temperature (33°C) with moderate humidity (71%) and rainfall (29mm), schedule cutting operations during early morning hours when sucrose concentration is highest. Measure brix levels with a hand refractometer before harvesting - optimal levels are 18-20%. The light wind (6 km/h) is favorable for worker comfort but insufficient for quick drying of harvested material - arrange for prompt transportation to processing facility within 12 hours to prevent sucrose inversion. Cut stalks at ground level using sharp tools to prevent ragged ends which invite pathogen entry in ratoon crop. Detrash and detop efficiently, removing all dead leaves and immature top portions. The moderate rainfall makes fields slightly wet - adjust machinery ground pressure to prevent soil compaction which affects ratoon performance. Apply copper oxychloride to cut ratoon stubble to prevent pathogen entry. Maintain cutting tool hygiene using 10% bleach solution between fields to prevent disease spread. Record field yield data precisely to evaluate variety performance under the season's temperature and rainfall patterns for future planning.",0
Sugarcane,Germination,36,80,25,15,"For sugarcane sett germination under very high temperature (36°C) and very high humidity (80%), implement specialized planting techniques. Use three-budded setts rather than two-budded ones to improve germination probability under stress. The moderate rainfall (25mm) with moderate wind (15 km/h) creates variable soil moisture conditions - plant setts at 5-7cm depth where moisture is more stable. Treat planting material with propiconazole (1ml/L) for 15 minutes before planting to prevent fungal infections. Install drip irrigation to supply precise moisture as needed. Apply Trichoderma viride enriched with organic matter in planting furrows to suppress soil pathogens. Cover setts with a thinner soil layer than usual (2-3cm) for faster emergence under high temperature, adding more soil gradually as plants establish. Mulch between rows with trash from previous harvest to moderate soil temperature. Monitor daily for white grub which becomes active under warm, moist conditions - apply phorate granules if detected. Apply compost tea as biostimulant weekly to enhance root proliferation under stress conditions. Maintain soil moisture at 80% field capacity through frequent light irrigations rather than fewer heavy applications.",0
Sugarcane,Harvest,34,65,22,17,"For sugarcane harvesting under high temperature (34°C) and moderate humidity (65%), optimize cutting timing based on sucrose accumulation - conduct pre-harvest sampling using hand refractometer at different field sections to identify priority areas. With lower rainfall (22mm) and strong wind (17 km/h), fields will be relatively dry - adjust harvester cutting height to 2-3cm above ground to avoid excessive soil intake while preserving ratoon potential. The combination of heat and wind accelerates moisture loss from cut stalks - organize harvesting in blocks that can be transported within 8 hours to prevent significant yield loss through desiccation and sucrose inversion. Use clean, sharp tools to make smooth cuts that heal properly for good ratoon establishment. The strong wind increases fire risk if burning is practiced - maintain wide firebreaks and have water tankers on standby. Schedule harvesting progression based on variety maturity indices rather than field proximity. Apply potassium phosphite to cut ratoon stubble immediately after harvest to promote rapid sprouting under heat stress. Maintain detailed harvest records including brix readings, stalk count, and biomass to evaluate variety performance under the season's conditions.",0
Chili,Harvest,35,80,33,18,"For chili harvesting under high temperature (35°C) and very high humidity (80%), schedule picking operations during early morning hours when fruits are turgid and temperatures are lower. The substantial rainfall (33mm) with strong wind (18 km/h) necessitates careful handling to prevent damage to both harvested fruits and remaining plants. Use scissors rather than hand-pulling to harvest fruits, leaving a small portion of stalk attached to extend shelf life. Implement multiple pickings at 5-7 day intervals focusing on fruits showing appropriate ripeness for intended market (green vs. colored). Avoid harvesting wet fruits to reduce post-harvest diseases. Use shallow plastic crates lined with banana leaves for collection to minimize bruising and heat buildup. Field grade immediately into quality categories. For fresh market chilies, wash harvested fruits in water containing 100ppm chlorine followed by clean water rinse to reduce microbial load. The combination of high temperature and humidity accelerates ripening and potential decay - arrange for cool storage (12-15°C) within 4-6 hours of harvest. Monitor for anthracnose on harvested fruits which develops rapidly under warm, humid conditions - apply pre-harvest fungicide 7 days before harvest if weather forecast indicates continued humid conditions.",0
Banana,Vegetative,36,76,38,14,"For banana in vegetative stage under very high temperature (36°C) with high humidity (76%) and significant rainfall (38mm), implement comprehensive management for robust plant development. Ensure adequate drainage channels of 60cm depth around each mat to prevent waterlogging from the substantial rainfall. Apply potassium sulfate (150g/plant) split into fortnightly doses to improve water regulation and heat tolerance. The moderate wind (14 km/h) helps reduce humidity around plants but monitor leaf tearing - install short bamboo poles to prevent young leaves from whipping in wind. Remove side suckers regularly maintaining only the recommended generation sequence per mat. Apply consortium of beneficial fungi (Trichoderma, Pochonia) to root zone to suppress nematode populations which proliferate under warm, moist conditions. Spray silicon (2ml/L sodium silicate) to strengthen cell walls against both biotic and abiotic stresses. The combination of high temperature and moisture creates ideal conditions for sigatoka leaf spot - apply systemic fungicide alternating with contact fungicide on 14-day schedule. Maintain 12-15 functional leaves per plant, removing older leaves to improve air circulation. Apply calcium nitrate through soil drench (10g/L) to improve pseudostem strength for upcoming fruit load.",0
Chili,Vegetative,36,79,25,20,"For chili in vegetative stage under very high temperature (36°C) and very high humidity (79%), implement advanced practices for heat resilience. Apply shade net (30-35%) temporarily during peak temperature hours if growth is stunted. With moderate rainfall (25mm) and very strong wind (20 km/h), stake plants individually using bamboo or plastic stakes to prevent stem breakage and root disturbance. Split nitrogen application into weekly doses (5-7 kg N/ha) through fertigation matching growth stages. The combination of high temperature, humidity and wind creates high evapotranspiration demand - apply kaolin clay spray (3%) to reduce leaf temperature by reflecting radiation. Install windbreaks using taller border crops or temporary netting on predominant wind direction side. Apply seaweed extract (3ml/L) with micronutrients to improve stress tolerance and prevent flower drop in upcoming reproductive phase. Monitor thrips population which vectors viral diseases - apply spinosad if detected. Keep field weed-free as competition significantly reduces yield under stress conditions. Apply mulch of silver reflective plastic to repel aphids while conserving soil moisture. Prune lower branches to improve air circulation and prevent soil splash which spreads bacterial diseases. Implement drip irrigation delivering precise moisture volumes based on evapotranspiration data for your specific location.",0
